epoch,loss_gen_photo_avg,loss_gen_monet_avg,loss_gen_total_avg,loss_disc_photo_avg,loss_disc_monet_avg,loss_disc_total_avg
0,4.131368319193522,4.207375434239705,8.33874374071757,0.3882968386511008,0.3899920630455017,0.7782889015475909
1,3.360620503425598,3.2145256694157918,6.57514617284139,0.23394958831369878,0.2305114269008239,0.4644610148668289
2,3.1670741792519888,2.9447546927134196,6.111828862826029,0.21581056927641232,0.21026416475574175,0.4260747334857782
3,2.904749724070231,2.6418341362476347,5.546583855946858,0.22003857692082723,0.20541086807847023,0.42544944430390996
4,2.8562063829104107,2.732072719335556,5.58827909787496,0.21171516180038452,0.2041957332442204,0.4159108944237232
5,2.6686089698473614,2.5590913677215577,5.22770033677419,0.2090638950591286,0.19521660260856152,0.4042804994185766
6,2.7708753486474356,2.559972080787023,5.330847425460815,0.2045606736217936,0.19373164843767882,0.3982923232515653
7,2.7023711689313252,2.462227483590444,5.164598640600841,0.2027343545978268,0.18911170753339926,0.3918460616469383
8,2.59469375371933,2.4391023886203764,5.033796149889628,0.19341313938299814,0.1804680624852578,0.37388120114803314
9,2.634184913635254,2.4013426530361177,5.035527587731679,0.19124543813367684,0.1786382714038094,0.36988370892902217
10,2.672596786419551,2.3839529522260032,5.056549735069275,0.18901635352522134,0.17900390415141978,0.36802025655905407
11,2.512194486459096,2.2690835773944853,4.781278074582418,0.19781003281474113,0.17519823409616947,0.37300826641420526
12,2.6738449680805205,2.4101877025763194,5.084032680193583,0.17774913779149454,0.16333223606149355,0.3410813733935356
13,2.549409642616908,2.3688193945089977,4.918229030768076,0.18621458855768044,0.16185819562524556,0.3480727850149075
14,2.575501112937927,2.282186533212662,4.857687648137411,0.18381404732664428,0.17191243451088667,0.3557264824708303
15,2.5868750441074373,2.2622497502962746,4.84912479241689,0.15467347751061122,0.16896237285186846,0.323635850995779
16,2.6884357778231305,2.2493158439795176,4.937751610279083,0.13446826420724392,0.15907509185373783,0.2935433553159237
17,2.6009918550650277,2.2669503931204478,4.867942235469818,0.13118764861797294,0.16453276043136913,0.2957204089065393
18,2.584233354330063,2.248497262398402,4.832730622291565,0.1311680499340097,0.1635182833299041,0.2946863329410553
19,2.5481945872306824,2.207928991317749,4.756123591264089,0.14568590570241213,0.16013019923120736,0.3058161045610905
20,2.551026743253072,2.1991159578164416,4.7501426959037785,0.14769301931063333,0.16810401843239864,0.3157970381528139
21,2.4950175952911375,2.1704862940311433,4.665503882567088,0.14646995053937037,0.1578125051657359,0.30428245613972343
22,2.5163616764545442,2.2087652615706124,4.725126945177714,0.14613161562631527,0.15582819805790982,0.30195981259147325
23,2.54939652522405,2.251073410908381,4.800469958782196,0.14907125245779754,0.14506390205274025,0.2941351540386677
24,2.4339490298430126,2.154899965127309,4.588849012056986,0.15010311459501585,0.15131743110716342,0.30142054595053197
25,2.4630734395980833,2.1323708486557007,4.595444273153941,0.15639449797570706,0.15207644194364547,0.30847094014286996
26,2.3636509692668914,2.1366737361749015,4.500324714978536,0.15133580507089694,0.1387492133428653,0.2900850176811218
27,2.35095046599706,2.080771536032359,4.431722002824148,0.1455131503318747,0.14040739599615334,0.28592054672539235
28,2.275104428927104,2.1154160356521605,4.390520469347636,0.15229842654118936,0.14897535319129626,0.30127377979457376
29,2.37648845632871,2.122714432477951,4.499202879269918,0.147352786163489,0.13409889380137124,0.2814516793439786
30,2.35649449189504,2.1556530129909515,4.5121475044886274,0.15077735204870502,0.13553240276873113,0.28630975427726907
31,2.321168209711711,2.1206525778770446,4.44182078520457,0.1507463598251343,0.13117209042112032,0.28191844950119654
32,2.3150553572177888,2.1148078246911366,4.429863178730011,0.1501388876636823,0.13923163967827956,0.2893705276399851
33,2.2513935804367065,2.026334226926168,4.27772780418396,0.1594514601926009,0.14892540290951728,0.3083768640210231
34,2.4079091306527456,2.134808148940404,4.542717283566793,0.14190154778460662,0.12522030202051004,0.2671218504756689
35,2.362700732946396,2.0713176174958545,4.434018355210622,0.1477854566524426,0.14059054426848888,0.2883760006974141
36,2.3735344382127126,2.1114634215831756,4.484997863769531,0.1451586092884342,0.13571217960988483,0.28087078794837
37,2.202266292174657,2.0372917075951893,4.239557989438375,0.1535081237182021,0.13336276471614839,0.2868708872795105
38,2.2808578352133435,2.0697389002641042,4.350596733887991,0.14339098217586677,0.12619100827723742,0.26958199066420396
39,2.27159635702769,2.089156050682068,4.3607524132728575,0.14780569747090339,0.1208701149870952,0.26867581243316335
40,2.2836581790447235,2.131408349275589,4.41506651242574,0.14477176510418455,0.10744497075676918,0.2522167364259561
41,2.2779360667864483,2.0718581124146778,4.3497941811879475,0.14246684084335962,0.11894015514602264,0.26140699605147044
42,2.1395881060759225,2.0710368688901264,4.2106249777475995,0.15025542352348567,0.11308295549203952,0.26333837904036045
43,2.25176213145256,2.1056900215148926,4.35745216846466,0.14836701509853203,0.11286217569063108,0.2612291906774044
44,2.1400571326414743,2.0828171535332998,4.222874273459117,0.15712920268376668,0.11407664517561594,0.2712058479587237
45,2.3120927862326304,2.087606757481893,4.3996995488802595,0.15233061301211517,0.10697347961366177,0.2593040917565425
46,2.1871356638272603,2.0309791358311973,4.218114798069,0.14874074620505173,0.12095180867860715,0.2696925552934408
47,2.2144696442286174,2.068982735474904,4.2834523797035216,0.14175767206897338,0.11774936812619369,0.25950704023242
48,2.1896097056070962,2.0351403828461967,4.224750095208486,0.14943019716689984,0.11486244043956201,0.2642926373332739
49,2.1883745666344963,2.031633317867915,4.220007898012797,0.15333764120936394,0.10849987362821897,0.26183751511077086
